,go_sequence,p_value
610,GO:0007110,0.848
611,GO:0007111,0.35
612,GO:0007127,0.378
613,GO:0007129,0.679
614,GO:0007130,0.565
615,GO:0007131,0.42
616,GO:0007140,0.025
617,GO:0007154,0.308
618,GO:0007155,0.02
619,GO:0007156,0.165
620,GO:0007158,0.263
621,GO:0007160,0.576
622,GO:0007162,0.631
623,GO:0007163,1.0
624,GO:0007165,1.0
625,GO:0007166,0.354
626,GO:0007168,1.0
627,GO:0007169,1.0
628,GO:0007171,0.819
629,GO:0007172,0.344
630,GO:0007173,0.736
631,GO:0007175,0.534
632,GO:0007178,1.0
633,GO:0007179,1.0
634,GO:0007186,1.0
635,GO:0007187,0.052
636,GO:0007188,1.0
637,GO:0007189,0.023
638,GO:0007190,0.652
640,GO:0007196,0.361
642,GO:0007200,0.271
643,GO:0007205,1.0
644,GO:0007210,0.646
645,GO:0007211,0.2
646,GO:0007212,0.301
647,GO:0007213,0.75
648,GO:0007214,1.0
649,GO:0007216,0.229
650,GO:0007217,0.851
651,GO:0007218,1.0
652,GO:0007219,1.0
653,GO:0007220,1.0
654,GO:0007224,0.424
655,GO:0007229,0.776
656,GO:0007231,0.085
657,GO:0007249,0.38
658,GO:0007250,0.868
659,GO:0007254,0.754
660,GO:0007257,1.0
661,GO:0007258,0.708
662,GO:0007259,0.59
663,GO:0007264,1.0
664,GO:0007265,0.008
665,GO:0007266,0.233
666,GO:0007267,0.624
667,GO:0007268,1.0
668,GO:0007269,0.101
669,GO:0007271,0.6
670,GO:0007274,1.0
671,GO:0007275,1.0
672,GO:0007276,0.643
673,GO:0007281,1.0
674,GO:0007283,0.042
675,GO:0007286,0.458
676,GO:0007292,0.367
677,GO:0007338,1.0
678,GO:0007339,0.122
679,GO:0007346,0.198
680,GO:0007368,0.354
681,GO:0007369,0.688
682,GO:0007389,1.0
683,GO:0007399,1.0
684,GO:0007400,0.311
685,GO:0007409,1.0
686,GO:0007411,0.06
687,GO:0007413,0.345
688,GO:0007416,0.085
689,GO:0007417,1.0
690,GO:0007419,0.256
691,GO:0007423,0.83
692,GO:0007442,0.283
693,GO:0007492,0.117
695,GO:0007498,0.722
696,GO:0007500,0.254
697,GO:0007501,0.079
698,GO:0007506,0.469
699,GO:0007507,0.189
700,GO:0007517,0.745
701,GO:0007528,0.899
702,GO:0007529,0.296
703,GO:0007530,0.088
704,GO:0007548,1.0
705,GO:0007549,0.382
706,GO:0007567,0.035
708,GO:0007584,0.933
710,GO:0007606,1.0
711,GO:0007608,1.0
712,GO:0007610,1.0
713,GO:0007611,0.929
714,GO:0007614,0.037
715,GO:0007617,0.697
716,GO:0007618,0.252
717,GO:0007623,1.0
718,GO:0007626,0.364
719,GO:0007631,0.69
720,GO:0007635,1.0
721,GO:0007638,1.0
722,GO:0008033,0.134
723,GO:0008039,0.291
724,GO:0008045,0.287
725,GO:0008053,0.634
726,GO:0008063,0.874
727,GO:0008078,0.419
728,GO:0008088,0.781
729,GO:0008089,0.139
730,GO:0008090,0.396
731,GO:0008104,0.485
732,GO:0008150,0.345
733,GO:0008152,1.0
734,GO:0008154,0.71
735,GO:0008202,0.338
736,GO:0008203,0.018
737,GO:0008219,0.258
738,GO:0008272,1.0
739,GO:0008277,0.041
740,GO:0008284,1.0
741,GO:0008285,0.867
742,GO:0008286,0.77
743,GO:0008292,0.142
744,GO:0008295,0.096
745,GO:0008299,0.1
746,GO:0008306,0.661
747,GO:0008333,0.48
748,GO:0008340,1.0
749,GO:0008344,0.539
750,GO:0008355,1.0
751,GO:0008356,0.421
752,GO:0008360,0.254
753,GO:0008361,0.898
754,GO:0008380,0.088
755,GO:0008406,0.147
756,GO:0008535,0.014
757,GO:0008544,0.562
758,GO:0008582,0.572
759,GO:0008584,0.003
760,GO:0008585,0.02
761,GO:0008592,0.884
762,GO:0008593,0.049
763,GO:0008595,0.462
764,GO:0008608,0.37
765,GO:0008610,0.652
766,GO:0008611,0.876
767,GO:0008612,0.423
768,GO:0008615,0.216
769,GO:0008630,0.245
770,GO:0008635,0.032
771,GO:0008637,0.865
772,GO:0008643,1.0
773,GO:0008652,0.068
774,GO:0008654,0.382
775,GO:0009051,0.523
776,GO:0009052,0.232
777,GO:0009058,1.0
778,GO:0009060,0.243
779,GO:0009062,1.0
780,GO:0009069,0.369
781,GO:0009072,1.0
782,GO:0009081,0.075
783,GO:0009082,0.059
784,GO:0009083,0.856
785,GO:0009086,0.634
786,GO:0009098,0.068
787,GO:0009099,0.055
788,GO:0009100,0.671
789,GO:0009107,0.416
790,GO:0009113,0.527
791,GO:0009115,0.252
792,GO:0009116,0.066
793,GO:0009117,0.472
794,GO:0009132,0.616
795,GO:0009142,0.346
796,GO:0009143,0.563
797,GO:0009150,0.558
798,GO:0009156,0.2
799,GO:0009157,0.744
800,GO:0009165,0.352
801,GO:0009166,0.6
802,GO:0009168,0.258
803,GO:0009190,1.0
804,GO:0009204,0.525
805,GO:0009214,0.447
806,GO:0009220,0.123
807,GO:0009225,0.354
808,GO:0009226,0.931
809,GO:0009229,0.94
810,GO:0009231,0.183
811,GO:0009235,0.543
812,GO:0009236,0.235
813,GO:0009240,0.442
814,GO:0009247,0.611
815,GO:0009249,0.709
816,GO:0009253,0.591
817,GO:0009257,0.87
818,GO:0009258,0.171
819,GO:0009259,0.457
820,GO:0009263,0.165
821,GO:0009264,0.587
822,GO:0009267,0.761
823,GO:0009298,0.38
824,GO:0009306,0.38
825,GO:0009311,0.389
826,GO:0009312,0.529
827,GO:0009314,0.888
828,GO:0009395,0.495
829,GO:0009396,0.627
830,GO:0009398,0.176
832,GO:0009408,0.2
833,GO:0009409,1.0
835,GO:0009411,0.305
836,GO:0009435,0.169
837,GO:0009437,0.62
838,GO:0009438,0.036
840,GO:0009448,0.214
841,GO:0009450,0.23
842,GO:0009451,0.167
843,GO:0009452,0.652
846,GO:0009593,0.657
847,GO:0009611,0.423
848,GO:0009612,1.0
849,GO:0009620,0.646
850,GO:0009636,0.697
851,GO:0009653,1.0
852,GO:0009725,0.47
853,GO:0009755,0.286
854,GO:0009786,0.674
855,GO:0009791,0.07
856,GO:0009792,1.0
857,GO:0009794,0.244
858,GO:0009880,0.118
859,GO:0009886,0.855
860,GO:0009887,0.39
861,GO:0009888,1.0
863,GO:0009913,0.237
864,GO:0009948,0.173
865,GO:0009949,0.591
866,GO:0009952,1.0
867,GO:0009954,0.024
868,GO:0009957,1.0
869,GO:0009966,0.473
870,GO:0009967,0.756
871,GO:0009968,0.534
872,GO:0009972,0.586
874,GO:0010025,0.1
875,GO:0010032,0.424
876,GO:0010033,0.847
877,GO:0010035,0.583
878,GO:0010038,0.551
879,GO:0010042,0.067
880,GO:0010043,1.0
881,GO:0010070,0.409
882,GO:0010084,0.196
883,GO:0010085,0.615
884,GO:0010121,0.953
885,GO:0010133,0.897
886,GO:0010142,0.321
887,GO:0010165,0.761
888,GO:0010171,0.609
889,GO:0010172,1.0
890,GO:0010212,0.765
891,GO:0010225,0.263
892,GO:0010248,0.295
893,GO:0010259,0.526
894,GO:0010265,0.652
895,GO:0010273,0.886
896,GO:0010286,1.0
898,GO:0010389,0.743
899,GO:0010390,0.672
900,GO:0010446,1.0
901,GO:0010466,0.077
902,GO:0010468,1.0
903,GO:0010498,0.419
904,GO:0010499,0.37
905,GO:0010506,0.11
906,GO:0010507,0.481
907,GO:0010508,0.76
908,GO:0010564,0.178
909,GO:0010569,0.878
910,GO:0010587,0.809
911,GO:0010591,0.923
912,GO:0010606,0.869
913,GO:0010608,0.718
914,GO:0010628,1.0
915,GO:0010629,1.0
916,GO:0010631,0.957
917,GO:0010644,0.08
918,GO:0010696,0.416
919,GO:0010705,0.38
920,GO:0010737,0.233
921,GO:0010738,0.7
923,GO:0010756,0.798
924,GO:0010792,0.627
925,GO:0010793,0.751
926,GO:0010821,0.843
927,GO:0010824,0.882
928,GO:0010826,0.127
930,GO:0010862,0.183
931,GO:0010869,0.701
932,GO:0010877,0.801
933,GO:0010883,0.492
934,GO:0010884,1.0
935,GO:0010888,0.452
936,GO:0010918,1.0
937,GO:0010923,0.829
938,GO:0010939,0.835
939,GO:0010940,0.28
940,GO:0010950,0.292
941,GO:0010951,0.051
942,GO:0010952,0.524
943,GO:0010954,0.034
944,GO:0010965,0.923
945,GO:0010971,1.0
946,GO:0010973,0.471
947,GO:0010975,0.25
948,GO:0010992,0.069
949,GO:0010998,0.678
950,GO:0012501,0.08
952,GO:0014019,0.293
953,GO:0014055,0.266
954,GO:0014057,0.397
955,GO:0014059,0.273
956,GO:0014065,0.67
957,GO:0014068,0.502
959,GO:0015012,0.56
960,GO:0015014,0.232
961,GO:0015015,0.833
962,GO:0015031,0.014
963,GO:0015074,1.0
964,GO:0015671,1.0
965,GO:0015672,0.505
966,GO:0015689,0.548
967,GO:0015693,0.547
968,GO:0015695,0.807
969,GO:0015696,0.582
970,GO:0015698,0.67
971,GO:0015701,0.552
972,GO:0015709,0.332
973,GO:0015718,0.669
974,GO:0015729,0.355
975,GO:0015739,0.564
976,GO:0015742,0.353
977,GO:0015744,0.688
978,GO:0015746,0.397
979,GO:0015786,1.0
980,GO:0015787,0.253
981,GO:0015789,0.265
982,GO:0015790,0.406
983,GO:0015793,0.709
984,GO:0015798,0.117
985,GO:0015809,0.658
986,GO:0015810,0.276
987,GO:0015811,0.308
988,GO:0015812,0.357
989,GO:0015813,0.05
990,GO:0015819,0.883
991,GO:0015833,0.818
992,GO:0015842,0.049
993,GO:0015844,0.32
994,GO:0015866,0.121
995,GO:0015867,0.133
996,GO:0015870,0.496
997,GO:0015871,0.206
998,GO:0015872,0.031
999,GO:0015874,0.147
1000,GO:0015884,0.26
1001,GO:0015886,0.736
1002,GO:0015893,0.338
1003,GO:0015909,0.281
1004,GO:0015910,0.404
1005,GO:0015914,0.029
1006,GO:0015917,0.137
1007,GO:0015918,0.074
1008,GO:0015936,0.391
1009,GO:0015937,0.54
1011,GO:0015986,0.146
1012,GO:0015990,0.756
1013,GO:0015991,0.15
1014,GO:0016024,0.17
1017,GO:0016042,1.0
1018,GO:0016043,0.605
1019,GO:0016045,0.494
1020,GO:0016048,0.221
1021,GO:0016050,0.507
1022,GO:0016051,0.885
1023,GO:0016052,0.575
1024,GO:0016055,1.0
1025,GO:0016070,0.434
1026,GO:0016071,0.79
1027,GO:0016072,0.278
1028,GO:0016075,0.138
1029,GO:0016079,0.402
1030,GO:0016080,0.477
1032,GO:0016082,0.868
1033,GO:0016095,0.149
1034,GO:0016121,0.671
1036,GO:0016126,0.426
1037,GO:0016139,0.541
1038,GO:0016180,0.294
1039,GO:0016182,0.813
1040,GO:0016185,0.483
1042,GO:0016191,0.501
1043,GO:0016192,1.0
1044,GO:0016197,0.07
1045,GO:0016199,0.926
1046,GO:0016226,0.262
1047,GO:0016233,0.741
1048,GO:0016236,0.188
1049,GO:0016242,0.607
1050,GO:0016246,0.103
1051,GO:0016255,0.642
1052,GO:0016260,0.243
1053,GO:0016266,0.178
1054,GO:0016267,0.077
1055,GO:0016310,1.0
1056,GO:0016311,1.0
1057,GO:0016322,0.419
1058,GO:0016331,0.832
1059,GO:0016344,0.579
1060,GO:0016358,1.0
1061,GO:0016477,0.116
1062,GO:0016485,0.507
1063,GO:0016486,0.825
1064,GO:0016539,0.665
1065,GO:0016540,0.332
1066,GO:0016558,0.286
1067,GO:0016559,0.212
1068,GO:0016560,0.28
1069,GO:0016567,1.0
1070,GO:0016570,0.324
1071,GO:0016571,0.652
1072,GO:0016572,0.85
1073,GO:0016573,1.0
1074,GO:0016575,0.215
1075,GO:0016576,0.049
1076,GO:0016577,0.539
1077,GO:0016578,0.782
1078,GO:0016579,0.193
1079,GO:0016584,1.0
1080,GO:0016598,0.18
1081,GO:0016925,1.0
1082,GO:0016926,0.644
1083,GO:0016973,0.096
1084,GO:0016998,0.536
1085,GO:0017121,0.166
1086,GO:0017126,0.303
1087,GO:0017148,0.385
1088,GO:0017156,0.187
1089,GO:0017157,0.648
1090,GO:0017158,0.279
1091,GO:0017183,0.202
1092,GO:0017185,0.915
1093,GO:0017186,0.946
1094,GO:0017196,0.761
1097,GO:0018008,0.677
1102,GO:0018063,0.557
1103,GO:0018095,0.457
1104,GO:0018105,1.0
1105,GO:0018107,1.0
1106,GO:0018108,1.0
1107,GO:0018117,0.273
1108,GO:0018149,0.391
1109,GO:0018171,0.423
1110,GO:0018193,0.673
1111,GO:0018197,0.317
1112,GO:0018230,0.55
