,go_sequence,p_value
2159,GO:0051307,0.2
2160,GO:0051315,0.923
2161,GO:0051321,0.038
2162,GO:0051345,0.335
2163,GO:0051382,0.162
2165,GO:0051390,0.942
2166,GO:0051391,0.327
2167,GO:0051402,0.941
2168,GO:0051415,0.051
2169,GO:0051443,0.542
2170,GO:0051445,0.689
2171,GO:0051447,0.406
2172,GO:0051452,0.659
2173,GO:0051453,0.204
2174,GO:0051457,0.26
2175,GO:0051480,1.0
2176,GO:0051490,0.925
2177,GO:0051493,0.391
2178,GO:0051560,0.797
2179,GO:0051568,0.239
2180,GO:0051583,0.126
2181,GO:0051591,0.939
2182,GO:0051598,0.781
2183,GO:0051601,0.167
2184,GO:0051603,1.0
2185,GO:0051604,0.588
2186,GO:0051610,0.01
2187,GO:0051639,0.504
2188,GO:0051640,0.63
2189,GO:0051642,0.721
2191,GO:0051646,0.871
2192,GO:0051661,0.41
2193,GO:0051666,0.549
2194,GO:0051693,0.72
2195,GO:0051694,0.329
2196,GO:0051697,0.775
2197,GO:0051726,0.245
2198,GO:0051729,0.608
2199,GO:0051754,0.886
2200,GO:0051759,0.391
2201,GO:0051781,0.017
2202,GO:0051782,0.069
2203,GO:0051788,0.876
2205,GO:0051793,0.423
2206,GO:0051865,0.677
2207,GO:0051881,0.921
2208,GO:0051897,0.333
2210,GO:0051932,0.622
2211,GO:0051964,0.08
2212,GO:0051965,0.764
2213,GO:0051966,0.125
2215,GO:0051973,0.524
2216,GO:0051983,0.133
2217,GO:0051984,0.724
2218,GO:0052746,0.113
2219,GO:0055002,0.611
2220,GO:0055057,0.18
2221,GO:0055059,0.292
2222,GO:0055064,0.256
2223,GO:0055070,0.815
2224,GO:0055071,0.067
2225,GO:0055072,0.076
2226,GO:0055074,0.471
2227,GO:0055075,0.268
2228,GO:0055085,1.0
2229,GO:0055088,0.006
2230,GO:0055091,0.919
2232,GO:0055114,1.0
2233,GO:0055129,0.856
2234,GO:0060047,0.051
2235,GO:0060048,0.72
2236,GO:0060050,0.122
2237,GO:0060069,0.62
2238,GO:0060070,0.274
2239,GO:0060071,0.75
2240,GO:0060078,1.0
2241,GO:0060079,1.0
2242,GO:0060097,0.321
2243,GO:0060101,0.817
2244,GO:0060142,0.041
2246,GO:0060259,0.484
2247,GO:0060261,0.499
2248,GO:0060271,1.0
2249,GO:0060279,0.861
2250,GO:0060281,0.641
2251,GO:0060282,0.841
2252,GO:0060285,0.018
2253,GO:0060290,0.699
2254,GO:0060291,0.165
2255,GO:0060296,0.903
2256,GO:0060298,0.805
2257,GO:0060341,0.829
2258,GO:0060378,0.407
2259,GO:0060386,0.806
2260,GO:0060395,0.198
2261,GO:0060429,0.712
2262,GO:0060456,0.632
2263,GO:0060465,1.0
2264,GO:0060471,0.237
2265,GO:0060537,0.73
2266,GO:0060548,0.596
2267,GO:0060562,0.525
2268,GO:0060573,1.0
2269,GO:0060581,0.629
2270,GO:0060623,0.296
2271,GO:0060631,0.765
2272,GO:0060756,0.029
2273,GO:0060828,0.717
2274,GO:0060964,0.594
2275,GO:0060965,0.808
2276,GO:0061015,0.429
2278,GO:0061025,0.645
2279,GO:0061031,0.111
2280,GO:0061041,0.903
2281,GO:0061061,0.864
2282,GO:0061062,0.337
2283,GO:0061063,0.62
2284,GO:0061065,0.275
2285,GO:0061066,0.766
2286,GO:0061067,0.465
2287,GO:0061077,0.204
2288,GO:0061088,1.0
2289,GO:0061096,0.4
2290,GO:0061098,0.083
2291,GO:0061099,0.769
2292,GO:0061136,0.262
2293,GO:0061158,0.258
2296,GO:0061355,0.759
2297,GO:0061357,0.779
2298,GO:0061365,0.821
2299,GO:0061512,0.564
2300,GO:0061564,0.51
2301,GO:0061621,0.437
2302,GO:0061640,0.082
2304,GO:0061668,0.908
2305,GO:0061709,0.134
2306,GO:0061723,0.148
2307,GO:0061771,1.0
2309,GO:0061817,0.148
2310,GO:0061837,0.617
2311,GO:0061853,0.227
2312,GO:0065002,0.935
2313,GO:0070072,0.207
2314,GO:0070084,0.801
2316,GO:0070124,0.245
2317,GO:0070125,0.188
2318,GO:0070126,0.286
2319,GO:0070131,0.035
2320,GO:0070179,0.121
2321,GO:0070189,1.0
2322,GO:0070192,0.521
2323,GO:0070194,0.069
2324,GO:0070212,0.804
2325,GO:0070221,0.65
2326,GO:0070262,0.334
2327,GO:0070265,0.48
2328,GO:0070301,0.92
2329,GO:0070328,0.281
2330,GO:0070329,0.24
2331,GO:0070370,0.327
2332,GO:0070374,0.339
2333,GO:0070413,0.538
2334,GO:0070475,0.936
2335,GO:0070476,0.746
2336,GO:0070478,0.868
2337,GO:0070481,0.414
2338,GO:0070482,0.915
2339,GO:0070507,0.403
2340,GO:0070509,0.327
2341,GO:0070534,0.613
2342,GO:0070536,0.799
2343,GO:0070544,0.414
2344,GO:0070550,0.146
2345,GO:0070574,0.06
2346,GO:0070584,0.208
2347,GO:0070587,0.471
2348,GO:0070588,1.0
2349,GO:0070593,0.342
2350,GO:0070613,0.66
2351,GO:0070651,0.413
2352,GO:0070681,0.709
2353,GO:0070682,0.861
2354,GO:0070734,0.784
2355,GO:0070778,0.266
2356,GO:0070781,0.619
2357,GO:0070782,0.616
2358,GO:0070813,0.358
2359,GO:0070814,0.149
2360,GO:0070816,0.6
2361,GO:0070830,0.876
2362,GO:0070832,0.263
2363,GO:0070836,0.708
2364,GO:0070863,0.545
2365,GO:0070884,0.053
2366,GO:0070897,0.791
2367,GO:0070898,0.255
2368,GO:0070899,0.54
2369,GO:0070914,0.607
2370,GO:0070918,0.155
2371,GO:0070919,0.226
2372,GO:0070932,0.298
2373,GO:0070933,0.294
2374,GO:0070935,0.592
2375,GO:0070936,0.145
2376,GO:0070940,0.792
2377,GO:0070966,0.39
2378,GO:0070972,0.325
2379,GO:0070973,0.508
2380,GO:0070979,0.327
2381,GO:0070986,0.162
2382,GO:0070988,0.21
2384,GO:0071025,0.409
2385,GO:0071028,0.216
2386,GO:0071033,0.066
2387,GO:0071034,0.569
2388,GO:0071035,0.317
2389,GO:0071036,0.608
2390,GO:0071037,0.606
2391,GO:0071038,0.316
2392,GO:0071039,0.617
2393,GO:0071040,0.596
2394,GO:0071042,0.356
2395,GO:0071044,0.49
2396,GO:0071048,0.515
2397,GO:0071049,0.579
2398,GO:0071050,0.628
2399,GO:0071051,0.328
2400,GO:0071108,0.584
2401,GO:0071168,0.402
2402,GO:0071169,0.152
2403,GO:0071171,0.636
2404,GO:0071218,0.2
2406,GO:0071230,0.763
2407,GO:0071244,0.371
2408,GO:0071277,0.169
2409,GO:0071294,1.0
2410,GO:0071310,0.003
2411,GO:0071320,0.428
2412,GO:0071333,0.391
2413,GO:0071421,0.095
2414,GO:0071422,0.312
2415,GO:0071423,0.27
2417,GO:0071456,0.096
2418,GO:0071470,0.691
2419,GO:0071477,0.328
2420,GO:0071479,0.255
2421,GO:0071480,0.141
2422,GO:0071481,0.083
2424,GO:0071526,0.343
2425,GO:0071528,0.855
2427,GO:0071542,0.086
2428,GO:0071543,0.886
2429,GO:0071557,0.097
2430,GO:0071569,0.257
2431,GO:0071577,1.0
2432,GO:0071578,0.509
2433,GO:0071586,0.751
2434,GO:0071596,0.753
2435,GO:0071689,0.339
2436,GO:0071702,0.255
2437,GO:0071704,0.137
2438,GO:0071709,0.907
2439,GO:0071712,0.683
2440,GO:0071722,0.565
2441,GO:0071733,0.169
2442,GO:0071786,0.171
2443,GO:0071805,1.0
2445,GO:0071816,0.516
2447,GO:0071850,0.516
2448,GO:0071880,1.0
2449,GO:0071897,0.287
2450,GO:0071900,0.276
2451,GO:0071902,0.903
2452,GO:0071918,0.514
2453,GO:0071922,0.307
2454,GO:0071926,0.666
2455,GO:0071927,0.185
2456,GO:0071929,0.093
2458,GO:0071947,0.781
2459,GO:0071985,0.428
2460,GO:0072321,0.551
2461,GO:0072327,0.309
2462,GO:0072334,0.483
2463,GO:0072344,0.015
2464,GO:0072355,0.299
2465,GO:0072382,0.384
2466,GO:0072383,0.857
2467,GO:0072384,0.307
2468,GO:0072488,0.556
2469,GO:0072579,0.261
2470,GO:0072583,0.291
2471,GO:0072594,1.0
2472,GO:0072657,0.208
2473,GO:0072659,0.477
2474,GO:0072684,0.594
2475,GO:0072689,0.493
2476,GO:0072697,0.493
2477,GO:0072711,0.273
2478,GO:0080009,0.277
2479,GO:0080058,0.491
2480,GO:0080144,0.897
2481,GO:0080182,0.001
2482,GO:0086036,0.348
2483,GO:0090038,0.508
2484,GO:0090071,0.426
2485,GO:0090087,0.557
2486,GO:0090090,0.368
2487,GO:0090110,0.792
2488,GO:0090114,0.696
2489,GO:0090136,0.214
2490,GO:0090149,0.42
2491,GO:0090162,0.687
2492,GO:0090200,0.747
2494,GO:0090263,1.0
2495,GO:0090305,0.098
2496,GO:0090307,0.717
2497,GO:0090325,0.091
2498,GO:0090326,0.41
2499,GO:0090328,0.646
2500,GO:0090382,0.861
2501,GO:0090385,0.436
2502,GO:0090386,0.238
2503,GO:0090387,0.377
2504,GO:0090389,0.382
2505,GO:0090390,0.725
2506,GO:0090399,0.849
2507,GO:0090435,0.211
2508,GO:0090494,0.029
2509,GO:0090501,0.331
2510,GO:0090502,0.199
2511,GO:0090503,1.0
2512,GO:0090522,0.166
2513,GO:0090597,0.106
2514,GO:0090625,0.741
2515,GO:0090630,1.0
2516,GO:0090646,0.633
2517,GO:0090657,0.639
2518,GO:0090727,0.163
2520,GO:0097010,0.571
2521,GO:0097035,0.924
2523,GO:0097037,0.255
2524,GO:0097039,0.363
2525,GO:0097052,0.557
2526,GO:0097053,0.038
2527,GO:0097056,0.91
2528,GO:0097061,0.763
2529,GO:0097062,0.759
2530,GO:0097104,0.27
2531,GO:0097105,0.269
2532,GO:0097112,0.286
2533,GO:0097120,1.0
2534,GO:0097151,0.498
2535,GO:0097154,0.83
2536,GO:0097190,0.472
2537,GO:0097192,0.565
2538,GO:0097193,0.59
2539,GO:0097194,0.261
2540,GO:0097202,0.033
2541,GO:0097235,0.361
2543,GO:0097240,0.401
2544,GO:0097264,0.094
2545,GO:0097320,0.427
2546,GO:0097352,0.476
2547,GO:0097359,0.855
2548,GO:0097374,0.644
2549,GO:0097376,0.913
2550,GO:0097401,0.73
2551,GO:0097402,1.0
2552,GO:0097428,0.699
2553,GO:0097475,1.0
2554,GO:0097484,0.299
2555,GO:0097499,0.27
2556,GO:0097500,0.255
2557,GO:0097501,0.288
2558,GO:0097502,0.4
2560,GO:0097552,0.043
2561,GO:0097628,0.537
2562,GO:0097720,0.455
2563,GO:0098504,0.693
2564,GO:0098506,0.685
2565,GO:0098507,0.619
2566,GO:0098542,1.0
2567,GO:0098609,1.0
2568,GO:0098655,1.0
2569,GO:0098656,0.259
2570,GO:0098662,0.043
2571,GO:0098664,0.1
2572,GO:0098700,0.177
2573,GO:0098703,0.067
2574,GO:0098711,0.642
2575,GO:0098719,0.284
2576,GO:0098773,0.744
2577,GO:0098789,0.248
2578,GO:0098849,0.889
2579,GO:0098869,1.0
2580,GO:0098887,0.23
2581,GO:0098921,0.644
2582,GO:0098943,0.799
2583,GO:0098968,0.568
2584,GO:0098970,0.285
2585,GO:0098971,0.079
2586,GO:0099093,0.327
2587,GO:0099131,1.0
2588,GO:0099132,0.452
2589,GO:0099152,0.126
2590,GO:0099158,0.1
2592,GO:0099566,0.138
2594,GO:0101030,0.285
2595,GO:0106004,0.813
2596,GO:0106005,0.909
2598,GO:0106046,0.368
2599,GO:0106074,0.273
2600,GO:0110032,1.0
2601,GO:0120009,0.679
2602,GO:1900026,1.0
2603,GO:1900036,1.0
2604,GO:1900073,0.819
2605,GO:1900075,0.821
2606,GO:1900087,0.071
2607,GO:1900118,0.644
2608,GO:1900150,0.318
2610,GO:1900182,0.443
2611,GO:1900194,0.341
2612,GO:1900364,0.883
2614,GO:1901006,0.438
2616,GO:1901045,0.794
2617,GO:1901046,1.0
2618,GO:1901048,0.42
2619,GO:1901074,0.866
2621,GO:1901076,0.346
2622,GO:1901135,0.333
2623,GO:1901137,0.36
2624,GO:1901190,0.921
2625,GO:1901214,0.736
2626,GO:1901215,0.213
2627,GO:1901216,0.596
2628,GO:1901244,0.321
2629,GO:1901255,0.072
2630,GO:1901315,0.463
2632,GO:1901407,0.934
2633,GO:1901562,1.0
2635,GO:1901642,1.0
2636,GO:1901800,0.597
2637,GO:1901907,0.892
2638,GO:1901909,0.882
2639,GO:1901911,0.89
2640,GO:1901962,0.706
2641,GO:1902000,0.852
2642,GO:1902042,0.394
2643,GO:1902074,0.406
2644,GO:1902075,0.08
2645,GO:1902093,0.302
2647,GO:1902104,0.39
2648,GO:1902230,0.683
2649,GO:1902287,0.645
2650,GO:1902356,0.342
2651,GO:1902358,0.543
2652,GO:1902389,0.692
2654,GO:1902412,1.0
2655,GO:1902445,0.387
2656,GO:1902463,0.87
2657,GO:1902473,0.388
2658,GO:1902474,0.695
2659,GO:1902475,0.375
2660,GO:1902476,1.0
2661,GO:1902477,0.283
2662,GO:1902479,1.0
2663,GO:1902531,0.559
2664,GO:1902559,0.798
2665,GO:1902600,0.015
2666,GO:1902616,0.175
2667,GO:1902626,0.282
2668,GO:1902647,0.514
2669,GO:1902648,0.314
2670,GO:1902667,0.051
2671,GO:1902669,1.0
2672,GO:1902684,0.405
2673,GO:1902685,0.047
2674,GO:1902742,0.017
2675,GO:1902751,1.0
2676,GO:1902805,0.494
2677,GO:1902806,0.103
2678,GO:1902807,0.022
2679,GO:1902842,0.653
2680,GO:1902855,0.192
2681,GO:1902882,0.739
2682,GO:1902883,0.465
2683,GO:1902884,1.0
2684,GO:1902969,0.304
2685,GO:1902975,0.276
2686,GO:1902979,0.619
2687,GO:1902983,0.783
2688,GO:1903036,0.284
2689,GO:1903104,0.517
2690,GO:1903146,0.293
2691,GO:1903188,0.614
2693,GO:1903224,0.104
2694,GO:1903226,0.116
2695,GO:1903259,0.84
2696,GO:1903292,0.745
2697,GO:1903298,0.092
2698,GO:1903354,0.241
2699,GO:1903356,0.711
2700,GO:1903358,0.514
2701,GO:1903361,0.065
2702,GO:1903364,0.261
2703,GO:1903394,0.446
2704,GO:1903401,0.909
2705,GO:1903426,0.919
2706,GO:1903427,1.0
2707,GO:1903436,0.583
2708,GO:1903461,0.711
2709,GO:1903506,0.781
2710,GO:1903507,1.0
2711,GO:1903508,1.0
2713,GO:1903539,0.527
2714,GO:1903569,0.632
2715,GO:1903646,0.94
2716,GO:1903742,0.8
2717,GO:1903743,0.425
2718,GO:1903744,0.861
2719,GO:1903745,0.37
2720,GO:1903746,0.868
2721,GO:1903775,0.578
2722,GO:1903818,1.0
2723,GO:1903825,0.669
2724,GO:1903826,0.888
2725,GO:1903830,0.564
2726,GO:1903854,0.379
2727,GO:1903862,0.893
2728,GO:1903863,0.43
2729,GO:1903998,0.473
2730,GO:1904000,1.0
2731,GO:1904068,0.934
2732,GO:1904070,0.468
2733,GO:1904081,0.365
2734,GO:1904107,0.629
2735,GO:1904109,1.0
2736,GO:1904122,0.158
2737,GO:1904123,0.819
2738,GO:1904146,0.395
2739,GO:1904161,0.429
2741,GO:1904263,0.366
2742,GO:1904294,0.377
2743,GO:1904357,0.188
2744,GO:1904382,0.784
2745,GO:1904430,0.655
2746,GO:1904482,0.359
2747,GO:1904491,0.45
2748,GO:1904498,0.201
2749,GO:1904668,0.582
2750,GO:1904731,0.837
2751,GO:1904746,0.14
2752,GO:1904747,0.017
2753,GO:1904748,0.361
2754,GO:1904776,0.679
2755,GO:1904778,0.438
2756,GO:1904780,0.731
2757,GO:1904781,0.691
2758,GO:1904787,0.02
2759,GO:1904799,0.082
2760,GO:1904807,1.0
2761,GO:1904810,0.168
2762,GO:1904811,0.045
2763,GO:1904812,0.301
2764,GO:1904825,0.39
2765,GO:1904901,0.937
2766,GO:1904936,1.0
2767,GO:1904937,0.018
2768,GO:1904951,0.686
2769,GO:1905244,0.126
2770,GO:1905261,0.562
2772,GO:1905342,0.393
2773,GO:1905406,0.159
2774,GO:1905437,0.935
2775,GO:1905473,0.918
2776,GO:1905484,0.14
2777,GO:1905485,1.0
2778,GO:1905488,0.043
2779,GO:1905491,0.075
2780,GO:1905515,1.0
2781,GO:1905516,0.608
2782,GO:1905691,0.026
2784,GO:1905751,0.303
2785,GO:1905775,0.224
2786,GO:1905789,1.0
2787,GO:1905792,1.0
2788,GO:1905798,0.385
2789,GO:1905801,0.375
2790,GO:1905803,0.367
2791,GO:1905804,0.629
2792,GO:1905808,0.228
2793,GO:1905815,0.312
2794,GO:1905845,0.254
2796,GO:1905885,0.937
2797,GO:1905897,0.083
2798,GO:1905905,0.402
2799,GO:1905909,0.838
2800,GO:1905910,0.072
2801,GO:1905936,0.261
2802,GO:1905938,0.418
2803,GO:1990001,0.633
2804,GO:1990048,0.39
2805,GO:1990116,0.699
2806,GO:1990126,0.836
2807,GO:1990169,0.771
2808,GO:1990258,0.787
2809,GO:1990386,0.068
2810,GO:1990414,0.158
2811,GO:1990426,0.321
2812,GO:1990440,0.162
2813,GO:1990456,0.743
2814,GO:1990461,0.642
2815,GO:1990481,0.47
2816,GO:1990502,0.04
2817,GO:1990504,0.529
2818,GO:1990511,0.382
2819,GO:1990519,0.724
2820,GO:1990569,0.246
2821,GO:1990573,0.146
2822,GO:1990575,0.104
2823,GO:1990592,0.562
2825,GO:1990822,0.899
2826,GO:1990834,0.134
2827,GO:1990893,0.434
2828,GO:2000008,0.604
2829,GO:2000009,0.769
2830,GO:2000045,0.271
2831,GO:2000060,0.251
2832,GO:2000114,0.51
2833,GO:2000134,0.5
2834,GO:2000147,0.911
2835,GO:2000173,0.179
2836,GO:2000212,0.591
2837,GO:2000213,0.626
2838,GO:2000241,0.534
2839,GO:2000243,1.0
2840,GO:2000253,0.907
2841,GO:2000272,0.529
2842,GO:2000292,0.832
2843,GO:2000294,0.635
2844,GO:2000301,0.384
2845,GO:2000310,0.395
2846,GO:2000311,0.633
2847,GO:2000331,0.081
2848,GO:2000370,0.724
2849,GO:2000431,0.895
2850,GO:2000480,0.603
2851,GO:2000543,0.924
2852,GO:2000574,0.3
2853,GO:2000582,0.165
2854,GO:2000635,0.41
2855,GO:2000643,0.377
2856,GO:2000648,0.707
2857,GO:2000650,0.868
2858,GO:2000677,0.123
2859,GO:2000737,0.436
2860,GO:2000738,0.567
2861,GO:2000746,0.228
2862,GO:2000766,0.466
2863,GO:2000767,0.449
2864,GO:2000785,0.221
2865,GO:2000786,0.787
2866,GO:2000815,0.235
2867,GO:2001022,0.548
2868,GO:2001046,1.0
2869,GO:2001056,0.037
2870,GO:2001135,0.948
2871,GO:2001165,0.934
2872,GO:2001173,0.606
2874,GO:2001240,0.051
2875,GO:2001243,0.543
2876,GO:2001253,0.758
2877,GO:2001255,0.932
2878,GO:2001256,0.906
2879,GO:2001258,0.928
2880,GO:2001294,0.792
