Gene	AF16_Control	Gene_2	AF16_Treatment	Gene_3	HK104_Control	Gene_4	HK104_Treatment
WBGene00023657	0	WBGene00023657	0	WBGene00023657	2	WBGene00023657	0
WBGene00023658	1	WBGene00023658	8	WBGene00023658	1	WBGene00023658	0
WBGene00023659	8	WBGene00023659	5	WBGene00023659	21	WBGene00023659	12
WBGene00023662	3	WBGene00023662	4	WBGene00023662	1	WBGene00023662	0
WBGene00023663	26	WBGene00023663	18	WBGene00023663	273	WBGene00023663	257
WBGene00023664	48	WBGene00023664	1	WBGene00023664	1	WBGene00023664	0
WBGene00023665	139	WBGene00023665	235	WBGene00023665	70	WBGene00023665	83
WBGene00023666	11	WBGene00023666	1	WBGene00023666	1	WBGene00023666	0
WBGene00023667	1	WBGene00023667	4	WBGene00023667	1	WBGene00023667	0
WBGene00023668	5	WBGene00023668	4	WBGene00023668	1	WBGene00023668	0
WBGene00023670	0	WBGene00023670	0	WBGene00023670	9	WBGene00023670	3
WBGene00023671	16	WBGene00023671	3	WBGene00023671	28	WBGene00023671	0
WBGene00023672	0	WBGene00023672	0	WBGene00023672	2	WBGene00023672	5
WBGene00023673	886	WBGene00023673	833	WBGene00023673	228	WBGene00023673	179
WBGene00023676	44	WBGene00023676	33	WBGene00023676	53	WBGene00023676	291
WBGene00023677	437	WBGene00023677	400	WBGene00023677	113	WBGene00023677	125
WBGene00023678	60	WBGene00023678	34	WBGene00023678	42	WBGene00023678	1
WBGene00023679	202	WBGene00023679	63	WBGene00023679	54	WBGene00023679	14
WBGene00023681	676	WBGene00023681	192	WBGene00023681	1	WBGene00023681	3
WBGene00023682	1	WBGene00023682	4	WBGene00023682	1	WBGene00023682	0
WBGene00023683	75	WBGene00023683	70	WBGene00023683	19	WBGene00023683	28
WBGene00023684	353	WBGene00023684	86	WBGene00023684	156	WBGene00023684	58
WBGene00023685	2	WBGene00023685	1	WBGene00023685	1	WBGene00023685	0
WBGene00023686	70	WBGene00023686	8	WBGene00023686	9	WBGene00023686	1
WBGene00023688	21	WBGene00023688	11	WBGene00023688	18	WBGene00023688	8
WBGene00023689	3	WBGene00023689	4	WBGene00023689	1	WBGene00023689	0
WBGene00023690	0	WBGene00023690	1	WBGene00023690	0	WBGene00023690	0
WBGene00023691	0	WBGene00023691	3	WBGene00023691	0	WBGene00023691	0
WBGene00023692	294	WBGene00023692	223	WBGene00023692	20	WBGene00023692	14
WBGene00023694	1	WBGene00023694	0	WBGene00023694	1	WBGene00023694	0
WBGene00023695	2	WBGene00023695	0	WBGene00023695	1	WBGene00023695	0
WBGene00023698	9	WBGene00023698	3	WBGene00023698	1	WBGene00023698	1
WBGene00023699	0	WBGene00023699	8	WBGene00023699	23	WBGene00023699	24
WBGene00023700	10	WBGene00023700	4	WBGene00023700	69	WBGene00023700	18
WBGene00023701	12	WBGene00023701	6	WBGene00023701	7	WBGene00023701	3
WBGene00023702	9	WBGene00023702	13	WBGene00023702	1	WBGene00023702	1
WBGene00023703	99	WBGene00023703	57	WBGene00023703	103	WBGene00023703	53
WBGene00023704	481	WBGene00023704	396	WBGene00023704	1335	WBGene00023704	515
WBGene00023705	37	WBGene00023705	33	WBGene00023705	25	WBGene00023705	15
WBGene00023706	719	WBGene00023706	588	WBGene00023706	898	WBGene00023706	592
WBGene00023708	363	WBGene00023708	250	WBGene00023708	116	WBGene00023708	70
WBGene00023710	719	WBGene00023710	777	WBGene00023710	502	WBGene00023710	489
WBGene00023711	4440	WBGene00023711	4401	WBGene00023711	2404	WBGene00023711	2314
WBGene00023712	66	WBGene00023712	65	WBGene00023712	35	WBGene00023712	38
WBGene00023713	10702	WBGene00023713	9639	WBGene00023713	10444	WBGene00023713	9419
WBGene00023714	18	WBGene00023714	19	WBGene00023714	2	WBGene00023714	0
WBGene00023715	106	WBGene00023715	71	WBGene00023715	55	WBGene00023715	44
WBGene00023716	74	WBGene00023716	44	WBGene00023716	50	WBGene00023716	59
WBGene00023718	330	WBGene00023718	372	WBGene00023718	353	WBGene00023718	383
WBGene00023719	1384	WBGene00023719	1150	WBGene00023719	857	WBGene00023719	786
WBGene00023720	95	WBGene00023720	74	WBGene00023720	123	WBGene00023720	126
WBGene00023722	24	WBGene00023722	15	WBGene00023722	31	WBGene00023722	22
WBGene00023723	16	WBGene00023723	10	WBGene00023723	8	WBGene00023723	7
WBGene00023724	5	WBGene00023724	2	WBGene00023724	10	WBGene00023724	3
WBGene00023725	6	WBGene00023725	3	WBGene00023725	5	WBGene00023725	3
WBGene00023726	12	WBGene00023726	2	WBGene00023726	1	WBGene00023726	3
WBGene00023727	8	WBGene00023727	3	WBGene00023727	28	WBGene00023727	0
WBGene00023728	11	WBGene00023728	2	WBGene00023728	14	WBGene00023728	4
WBGene00023729	1464	WBGene00023729	1440	WBGene00023729	1184	WBGene00023729	1126
WBGene00023730	34	WBGene00023730	10	WBGene00023730	9	WBGene00023730	2
WBGene00023731	0	WBGene00023731	6	WBGene00023731	0	WBGene00023731	0
