Gene	AF16_Control	Gene_2	AF16_Treatment	Gene_3	HK104_Control	Gene_4	HK104_Treatment 
WBGene00033110	640	WBGene00033110	563	WBGene00033110	463	WBGene00033110	477
WBGene00033111	53	WBGene00033111	29	WBGene00033111	29	WBGene00033111	14
WBGene00033112	0	WBGene00033112	0	WBGene00033112	0	WBGene00033112	0
WBGene00033113	1	WBGene00033113	1	WBGene00033113	3	WBGene00033113	1
WBGene00033114	2	WBGene00033114	0	WBGene00033114	1	WBGene00033114	0
WBGene00033115	0	WBGene00033115	0	WBGene00033115	0	WBGene00033115	0
WBGene00033116	0	WBGene00033116	0	WBGene00033116	0	WBGene00033116	0
WBGene00033117	0	WBGene00033117	0	WBGene00033117	0	WBGene00033117	1
WBGene00033118	10	WBGene00033118	4	WBGene00033118	3	WBGene00033118	0
WBGene00033119	0	WBGene00033119	0	WBGene00033119	0	WBGene00033119	0
WBGene00033120	3	WBGene00033120	2	WBGene00033120	0	WBGene00033120	0
WBGene00033121	0	WBGene00033121	0	WBGene00033121	1	WBGene00033121	0
WBGene00033122	888	WBGene00033122	348	WBGene00033122	791	WBGene00033122	322
WBGene00033123	112	WBGene00033123	24	WBGene00033123	30	WBGene00033123	10
WBGene00033124	0	WBGene00033124	1	WBGene00033124	10	WBGene00033124	0
WBGene00033125	0	WBGene00033125	0	WBGene00033125	2	WBGene00033125	0
WBGene00033126	37	WBGene00033126	13	WBGene00033126	21	WBGene00033126	15
WBGene00033127	320	WBGene00033127	93	WBGene00033127	109	WBGene00033127	42
WBGene00033128	32	WBGene00033128	5	WBGene00033128	16	WBGene00033128	9
WBGene00033130	35	WBGene00033130	27	WBGene00033130	28	WBGene00033130	25
WBGene00033131	1	WBGene00033131	1	WBGene00033131	3	WBGene00033131	0
WBGene00033132	0	WBGene00033132	0	WBGene00033132	0	WBGene00033132	0
WBGene00033134	0	WBGene00033134	0	WBGene00033134	0	WBGene00033134	0
WBGene00033135	578	WBGene00033135	686	WBGene00033135	815	WBGene00033135	781
WBGene00033136	450	WBGene00033136	290	WBGene00033136	522	WBGene00033136	298
WBGene00033137	3	WBGene00033137	0	WBGene00033137	3	WBGene00033137	0
WBGene00033138	52	WBGene00033138	57	WBGene00033138	54	WBGene00033138	31
WBGene00033139	495	WBGene00033139	158	WBGene00033139	173	WBGene00033139	89
WBGene00033140	161	WBGene00033140	69	WBGene00033140	147	WBGene00033140	76
WBGene00033141	5	WBGene00033141	0	WBGene00033141	5	WBGene00033141	1
WBGene00033142	40	WBGene00033142	16	WBGene00033142	45	WBGene00033142	3
WBGene00033143	13	WBGene00033143	11	WBGene00033143	72	WBGene00033143	44
WBGene00033144	453	WBGene00033144	221	WBGene00033144	449	WBGene00033144	224
WBGene00033145	4	WBGene00033145	7	WBGene00033145	25	WBGene00033145	12
WBGene00033146	1063	WBGene00033146	865	WBGene00033146	1164	WBGene00033146	827
WBGene00033147	11353	WBGene00033147	10505	WBGene00033147	7208	WBGene00033147	6671
WBGene00033148	86	WBGene00033148	44	WBGene00033148	95	WBGene00033148	16
WBGene00033149	0	WBGene00033149	0	WBGene00033149	0	WBGene00033149	0
WBGene00033150	5	WBGene00033150	0	WBGene00033150	8	WBGene00033150	5
WBGene00033151	0	WBGene00033151	0	WBGene00033151	0	WBGene00033151	0
WBGene00033152	0	WBGene00033152	0	WBGene00033152	0	WBGene00033152	0
WBGene00033153	79	WBGene00033153	26	WBGene00033153	23	WBGene00033153	9
WBGene00033154	6	WBGene00033154	2	WBGene00033154	2	WBGene00033154	8
WBGene00033155	0	WBGene00033155	0	WBGene00033155	0	WBGene00033155	0
WBGene00033156	7	WBGene00033156	2	WBGene00033156	10	WBGene00033156	5
WBGene00033157	272	WBGene00033157	35	WBGene00033157	174	WBGene00033157	38
WBGene00033158	14	WBGene00033158	4	WBGene00033158	9	WBGene00033158	2
WBGene00033159	4	WBGene00033159	0	WBGene00033159	3	WBGene00033159	0
WBGene00033160	99	WBGene00033160	162	WBGene00033160	84	WBGene00033160	117
WBGene00033161	0	WBGene00033161	1	WBGene00033161	0	WBGene00033161	0
WBGene00033162	1164	WBGene00033162	462	WBGene00033162	940	WBGene00033162	332
WBGene00033164	0	WBGene00033164	0	WBGene00033164	30	WBGene00033164	93
WBGene00033165	0	WBGene00033165	0	WBGene00033165	0	WBGene00033165	0
WBGene00033166	0	WBGene00033166	0	WBGene00033166	0	WBGene00033166	0
WBGene00033167	203	WBGene00033167	214	WBGene00033167	217	WBGene00033167	215
WBGene00033168	169	WBGene00033168	126	WBGene00033168	172	WBGene00033168	116
WBGene00033169	26	WBGene00033169	29	WBGene00033169	0	WBGene00033169	0
WBGene00033170	1200	WBGene00033170	954	WBGene00033170	883	WBGene00033170	1059
WBGene00033171	100	WBGene00033171	72	WBGene00033171	0	WBGene00033171	3
WBGene00033172	1514	WBGene00033172	920	WBGene00033172	1229	WBGene00033172	930
WBGene00033173	4	WBGene00033173	0	WBGene00033173	0	WBGene00033173	0
WBGene00033174	91	WBGene00033174	25	WBGene00033174	18	WBGene00033174	23
WBGene00033175	16	WBGene00033175	17	WBGene00033175	33	WBGene00033175	49
WBGene00033177	249	WBGene00033177	171	WBGene00033177	12	WBGene00033177	11
WBGene00033178	0	WBGene00033178	0	WBGene00033178	10	WBGene00033178	9
WBGene00033179	0	WBGene00033179	0	WBGene00033179	10	WBGene00033179	52
WBGene00033180	1233	WBGene00033180	1088	WBGene00033180	1477	WBGene00033180	1350
WBGene00033182	0	WBGene00033182	0	WBGene00033182	0	WBGene00033182	0
WBGene00033184	0	WBGene00033184	0	WBGene00033184	4	WBGene00033184	1
WBGene00033185	4	WBGene00033185	4	WBGene00033185	12	WBGene00033185	0
WBGene00033186	0	WBGene00033186	0	WBGene00033186	15	WBGene00033186	9
WBGene00033187	520	WBGene00033187	473	WBGene00033187	513	WBGene00033187	439
WBGene00033188	2299	WBGene00033188	2239	WBGene00033188	2550	WBGene00033188	2374
WBGene00033189	93	WBGene00033189	479	WBGene00033189	0	WBGene00033189	1
WBGene00033190	0	WBGene00033190	0	WBGene00033190	0	WBGene00033190	0
WBGene00033191	1	WBGene00033191	1	WBGene00033191	3	WBGene00033191	0
WBGene00033192	4	WBGene00033192	2	WBGene00033192	16	WBGene00033192	2
WBGene00033193	424	WBGene00033193	328	WBGene00033193	238	WBGene00033193	277
WBGene00033194	133	WBGene00033194	109	WBGene00033194	135	WBGene00033194	125
WBGene00033195	114	WBGene00033195	47	WBGene00033195	70	WBGene00033195	40
WBGene00033196	13	WBGene00033196	206	WBGene00033196	1	WBGene00033196	0
WBGene00033197	27	WBGene00033197	27	WBGene00033197	74	WBGene00033197	11
WBGene00033198	2575	WBGene00033198	2388	WBGene00033198	2559	WBGene00033198	2478
WBGene00033199	336	WBGene00033199	282	WBGene00033199	358	WBGene00033199	256
WBGene00033200	8	WBGene00033200	5	WBGene00033200	0	WBGene00033200	0
WBGene00033201	15	WBGene00033201	9	WBGene00033201	3	WBGene00033201	4
WBGene00033202	55	WBGene00033202	41	WBGene00033202	0	WBGene00033202	0
WBGene00033203	394	WBGene00033203	348	WBGene00033203	370	WBGene00033203	302
WBGene00033204	27	WBGene00033204	22	WBGene00033204	31	WBGene00033204	15
WBGene00033205	2234	WBGene00033205	2426	WBGene00033205	2368	WBGene00033205	3022
WBGene00033206	566	WBGene00033206	589	WBGene00033206	627	WBGene00033206	581
WBGene00033207	15	WBGene00033207	8	WBGene00033207	79	WBGene00033207	51
WBGene00033209	1	WBGene00033209	0	WBGene00033209	64	WBGene00033209	77
WBGene00033210	0	WBGene00033210	0	WBGene00033210	0	WBGene00033210	0
WBGene00033211	4	WBGene00033211	4	WBGene00033211	0	WBGene00033211	0
WBGene00033212	1309	WBGene00033212	1334	WBGene00033212	380	WBGene00033212	429
WBGene00033213	0	WBGene00033213	1	WBGene00033213	0	WBGene00033213	0
WBGene00033214	707	WBGene00033214	22	WBGene00033214	0	WBGene00033214	2
WBGene00033215	445	WBGene00033215	287	WBGene00033215	405	WBGene00033215	283
WBGene00033216	6	WBGene00033216	6	WBGene00033216	25	WBGene00033216	2
WBGene00033217	1	WBGene00033217	2	WBGene00033217	38	WBGene00033217	0
WBGene00033219	720	WBGene00033219	696	WBGene00033219	50	WBGene00033219	261
WBGene00033220	14	WBGene00033220	13	WBGene00033220	9	WBGene00033220	6
WBGene00033222	210	WBGene00033222	410	WBGene00033222	216	WBGene00033222	293
WBGene00033223	10	WBGene00033223	0	WBGene00033223	2	WBGene00033223	1
WBGene00033224	13	WBGene00033224	5	WBGene00033224	7	WBGene00033224	3
WBGene00033225	10	WBGene00033225	2	WBGene00033225	14	WBGene00033225	19
WBGene00033226	2869	WBGene00033226	2910	WBGene00033226	3693	WBGene00033226	3650
WBGene00033227	76	WBGene00033227	68	WBGene00033227	71	WBGene00033227	15
WBGene00033228	818	WBGene00033228	553	WBGene00033228	771	WBGene00033228	479
WBGene00033229	1449	WBGene00033229	1480	WBGene00033229	1689	WBGene00033229	1704
WBGene00033230	928	WBGene00033230	659	WBGene00033230	1147	WBGene00033230	683
WBGene00033231	184	WBGene00033231	193	WBGene00033231	186	WBGene00033231	151
WBGene00033232	428	WBGene00033232	456	WBGene00033232	1	WBGene00033232	0
WBGene00033233	77	WBGene00033233	30	WBGene00033233	93	WBGene00033233	34
WBGene00033234	839	WBGene00033234	740	WBGene00033234	680	WBGene00033234	658
WBGene00033235	284	WBGene00033235	69	WBGene00033235	157	WBGene00033235	98
WBGene00033236	9	WBGene00033236	3	WBGene00033236	14	WBGene00033236	1
WBGene00033237	478	WBGene00033237	307	WBGene00033237	642	WBGene00033237	450
WBGene00033238	1033	WBGene00033238	1239	WBGene00033238	911	WBGene00033238	1162
WBGene00033239	169	WBGene00033239	129	WBGene00033239	181	WBGene00033239	168
WBGene00033242	462	WBGene00033242	735	WBGene00033242	10	WBGene00033242	0
WBGene00033243	26	WBGene00033243	14	WBGene00033243	16	WBGene00033243	3
WBGene00033244	0	WBGene00033244	0	WBGene00033244	12	WBGene00033244	14
WBGene00033245	0	WBGene00033245	0	WBGene00033245	0	WBGene00033245	0
WBGene00033246	12	WBGene00033246	12	WBGene00033246	24	WBGene00033246	12
WBGene00033247	29	WBGene00033247	7	WBGene00033247	26	WBGene00033247	23
WBGene00033248	0	WBGene00033248	0	WBGene00033248	0	WBGene00033248	0
WBGene00033249	4	WBGene00033249	0	WBGene00033249	0	WBGene00033249	0
WBGene00033250	16	WBGene00033250	0	WBGene00033250	4	WBGene00033250	1
WBGene00033251	0	WBGene00033251	0	WBGene00033251	23	WBGene00033251	1
WBGene00033252	0	WBGene00033252	0	WBGene00033252	3	WBGene00033252	2
WBGene00033253	19	WBGene00033253	14	WBGene00033253	0	WBGene00033253	6
WBGene00033254	492	WBGene00033254	448	WBGene00033254	347	WBGene00033254	635
WBGene00033255	0	WBGene00033255	0	WBGene00033255	0	WBGene00033255	0
WBGene00033256	1696	WBGene00033256	2100	WBGene00033256	1445	WBGene00033256	1761
WBGene00033257	179	WBGene00033257	157	WBGene00033257	344	WBGene00033257	259
WBGene00033258	141	WBGene00033258	54	WBGene00033258	183	WBGene00033258	60
WBGene00033259	4	WBGene00033259	0	WBGene00033259	0	WBGene00033259	0
WBGene00033260	596	WBGene00033260	503	WBGene00033260	460	WBGene00033260	361
WBGene00033261	968	WBGene00033261	1022	WBGene00033261	602	WBGene00033261	620
WBGene00033262	0	WBGene00033262	0	WBGene00033262	148	WBGene00033262	30
WBGene00033263	1	WBGene00033263	0	WBGene00033263	39	WBGene00033263	1
WBGene00033264	0	WBGene00033264	0	WBGene00033264	0	WBGene00033264	0
WBGene00033265	0	WBGene00033265	0	WBGene00033265	0	WBGene00033265	0
WBGene00033266	486	WBGene00033266	436	WBGene00033266	389	WBGene00033266	367
WBGene00033267	111	WBGene00033267	91	WBGene00033267	102	WBGene00033267	69
WBGene00033268	4	WBGene00033268	3	WBGene00033268	4	WBGene00033268	1
WBGene00033269	2657	WBGene00033269	3159	WBGene00033269	2545	WBGene00033269	3014
WBGene00033270	170	WBGene00033270	155	WBGene00033270	150	WBGene00033270	154
WBGene00033271	22	WBGene00033271	14	WBGene00033271	38	WBGene00033271	14
WBGene00033272	2	WBGene00033272	1	WBGene00033272	0	WBGene00033272	6
WBGene00033273	15	WBGene00033273	11	WBGene00033273	21	WBGene00033273	18
WBGene00033274	65	WBGene00033274	34	WBGene00033274	1	WBGene00033274	3
WBGene00033275	177	WBGene00033275	135	WBGene00033275	0	WBGene00033275	1
WBGene00033276	139	WBGene00033276	100	WBGene00033276	135	WBGene00033276	98
WBGene00033277	2	WBGene00033277	0	WBGene00033277	1	WBGene00033277	2
WBGene00033278	7	WBGene00033278	3	WBGene00033278	6	WBGene00033278	1
WBGene00033279	452	WBGene00033279	392	WBGene00033279	343	WBGene00033279	339
WBGene00033280	3	WBGene00033280	3	WBGene00033280	63	WBGene00033280	25
WBGene00033281	31	WBGene00033281	41	WBGene00033281	75	WBGene00033281	118
WBGene00033282	280	WBGene00033282	189	WBGene00033282	285	WBGene00033282	188
WBGene00033283	4121	WBGene00033283	4837	WBGene00033283	3636	WBGene00033283	4285
WBGene00033284	1489	WBGene00033284	334	WBGene00033284	0	WBGene00033284	0
WBGene00033286	770	WBGene00033286	708	WBGene00033286	737	WBGene00033286	684
WBGene00033287	85	WBGene00033287	133	WBGene00033287	276	WBGene00033287	33
WBGene00033289	205	WBGene00033289	366	WBGene00033289	114	WBGene00033289	141
WBGene00033290	512	WBGene00033290	622	WBGene00033290	477	WBGene00033290	496
WBGene00033291	124	WBGene00033291	90	WBGene00033291	137	WBGene00033291	226
WBGene00033292	5	WBGene00033292	0	WBGene00033292	1	WBGene00033292	0
WBGene00033293	8	WBGene00033293	4	WBGene00033293	0	WBGene00033293	0
WBGene00033294	3	WBGene00033294	0	WBGene00033294	7	WBGene00033294	9
WBGene00033295	86	WBGene00033295	21	WBGene00033295	74	WBGene00033295	38
WBGene00033296	17	WBGene00033296	52	WBGene00033296	41	WBGene00033296	19
WBGene00033297	264	WBGene00033297	225	WBGene00033297	263	WBGene00033297	230
WBGene00033298	671	WBGene00033298	473	WBGene00033298	724	WBGene00033298	581
WBGene00033299	1434	WBGene00033299	1297	WBGene00033299	1355	WBGene00033299	1135
WBGene00033300	861	WBGene00033300	765	WBGene00033300	908	WBGene00033300	818
WBGene00033301	312	WBGene00033301	452	WBGene00033301	989	WBGene00033301	904
WBGene00033302	132	WBGene00033302	110	WBGene00033302	1	WBGene00033302	0
WBGene00033303	7405	WBGene00033303	5724	WBGene00033303	6593	WBGene00033303	4942
WBGene00033304	17	WBGene00033304	4	WBGene00033304	16	WBGene00033304	12
WBGene00033305	233	WBGene00033305	259	WBGene00033305	2	WBGene00033305	0
WBGene00033306	17	WBGene00033306	11	WBGene00033306	855	WBGene00033306	304
WBGene00033307	169	WBGene00033307	270	WBGene00033307	40	WBGene00033307	56
WBGene00033308	227	WBGene00033308	171	WBGene00033308	224	WBGene00033308	165
WBGene00033309	167	WBGene00033309	25	WBGene00033309	125	WBGene00033309	34
WBGene00033311	1681	WBGene00033311	1725	WBGene00033311	1706	WBGene00033311	1572
WBGene00033312	613	WBGene00033312	534	WBGene00033312	846	WBGene00033312	511
WBGene00033313	0	WBGene00033313	0	WBGene00033313	0	WBGene00033313	0
WBGene00033314	0	WBGene00033314	0	WBGene00033314	0	WBGene00033314	0
WBGene00033315	295	WBGene00033315	257	WBGene00033315	365	WBGene00033315	330
WBGene00033316	557	WBGene00033316	455	WBGene00033316	612	WBGene00033316	432
WBGene00033317	446	WBGene00033317	620	WBGene00033317	368	WBGene00033317	401
WBGene00033318	53	WBGene00033318	60	WBGene00033318	0	WBGene00033318	0
WBGene00033319	893	WBGene00033319	923	WBGene00033319	336	WBGene00033319	325
WBGene00033320	921	WBGene00033320	950	WBGene00033320	1128	WBGene00033320	1038
WBGene00033321	46	WBGene00033321	33	WBGene00033321	292	WBGene00033321	80
WBGene00033322	1638	WBGene00033322	1536	WBGene00033322	1576	WBGene00033322	1326
WBGene00033323	2	WBGene00033323	0	WBGene00033323	0	WBGene00033323	1
WBGene00033324	9	WBGene00033324	5	WBGene00033324	25	WBGene00033324	6
WBGene00033325	0	WBGene00033325	0	WBGene00033325	0	WBGene00033325	0
WBGene00033326	70	WBGene00033326	38	WBGene00033326	21	WBGene00033326	33
WBGene00033327	1564	WBGene00033327	1015	WBGene00033327	945	WBGene00033327	982
WBGene00033328	11	WBGene00033328	3	WBGene00033328	67	WBGene00033328	48
WBGene00033329	777	WBGene00033329	240	WBGene00033329	126	WBGene00033329	65
WBGene00033330	1108	WBGene00033330	1241	WBGene00033330	1058	WBGene00033330	1032
WBGene00033331	5	WBGene00033331	6	WBGene00033331	0	WBGene00033331	0
WBGene00033332	19	WBGene00033332	9	WBGene00033332	15	WBGene00033332	7
WBGene00033333	4964	WBGene00033333	3831	WBGene00033333	4839	WBGene00033333	3907
WBGene00033334	2	WBGene00033334	2	WBGene00033334	760	WBGene00033334	468
WBGene00033335	675	WBGene00033335	448	WBGene00033335	619	WBGene00033335	553
WBGene00033336	0	WBGene00033336	0	WBGene00033336	0	WBGene00033336	0
WBGene00033337	7	WBGene00033337	0	WBGene00033337	0	WBGene00033337	0
WBGene00033338	327	WBGene00033338	317	WBGene00033338	353	WBGene00033338	338
WBGene00033340	0	WBGene00033340	0	WBGene00033340	2	WBGene00033340	1
WBGene00033341	0	WBGene00033341	0	WBGene00033341	0	WBGene00033341	0
WBGene00033342	3	WBGene00033342	0	WBGene00033342	5	WBGene00033342	0
WBGene00033343	115	WBGene00033343	26	WBGene00033343	92	WBGene00033343	43
WBGene00033344	1329	WBGene00033344	299	WBGene00033344	1429	WBGene00033344	333
WBGene00033345	0	WBGene00033345	0	WBGene00033345	1	WBGene00033345	0
WBGene00033346	251	WBGene00033346	236	WBGene00033346	345	WBGene00033346	300
WBGene00033347	2735	WBGene00033347	2188	WBGene00033347	4055	WBGene00033347	2329
WBGene00033348	43	WBGene00033348	68	WBGene00033348	107	WBGene00033348	55
WBGene00033349	18	WBGene00033349	10	WBGene00033349	15	WBGene00033349	9
WBGene00033350	68	WBGene00033350	11	WBGene00033350	85	WBGene00033350	10
WBGene00033351	0	WBGene00033351	0	WBGene00033351	39	WBGene00033351	1
WBGene00033352	21	WBGene00033352	5	WBGene00033352	6	WBGene00033352	4
WBGene00033353	0	WBGene00033353	0	WBGene00033353	0	WBGene00033353	0
WBGene00033354	2	WBGene00033354	0	WBGene00033354	0	WBGene00033354	1
WBGene00033355	0	WBGene00033355	0	WBGene00033355	0	WBGene00033355	0
WBGene00033356	0	WBGene00033356	0	WBGene00033356	0	WBGene00033356	0
WBGene00033357	734	WBGene00033357	1032	WBGene00033357	675	WBGene00033357	582
WBGene00033358	530	WBGene00033358	416	WBGene00033358	582	WBGene00033358	389
WBGene00033359	503	WBGene00033359	108	WBGene00033359	0	WBGene00033359	0
WBGene00033360	0	WBGene00033360	0	WBGene00033360	17	WBGene00033360	508
WBGene00033361	1	WBGene00033361	1	WBGene00033361	0	WBGene00033361	0
WBGene00033362	1273	WBGene00033362	454	WBGene00033362	900	WBGene00033362	246
WBGene00033363	0	WBGene00033363	0	WBGene00033363	0	WBGene00033363	0
WBGene00033364	1	WBGene00033364	1	WBGene00033364	1	WBGene00033364	0
WBGene00033365	5	WBGene00033365	3	WBGene00033365	3	WBGene00033365	4
WBGene00033366	0	WBGene00033366	0	WBGene00033366	0	WBGene00033366	0
WBGene00033367	5	WBGene00033367	0	WBGene00033367	2	WBGene00033367	0
WBGene00033368	0	WBGene00033368	0	WBGene00033368	52	WBGene00033368	42
WBGene00033369	761	WBGene00033369	673	WBGene00033369	1335	WBGene00033369	614
WBGene00033370	1240	WBGene00033370	1065	WBGene00033370	872	WBGene00033370	817
WBGene00033371	486	WBGene00033371	588	WBGene00033371	530	WBGene00033371	478
WBGene00033372	0	WBGene00033372	0	WBGene00033372	1	WBGene00033372	0
WBGene00033373	47	WBGene00033373	46	WBGene00033373	40	WBGene00033373	28
WBGene00033374	37	WBGene00033374	20	WBGene00033374	49	WBGene00033374	15
WBGene00033375	0	WBGene00033375	0	WBGene00033375	0	WBGene00033375	0
WBGene00033376	0	WBGene00033376	0	WBGene00033376	2	WBGene00033376	0
WBGene00033377	3	WBGene00033377	0	WBGene00033377	0	WBGene00033377	0
WBGene00033378	1	WBGene00033378	1	WBGene00033378	0	WBGene00033378	6
WBGene00033379	120	WBGene00033379	21	WBGene00033379	209	WBGene00033379	12
WBGene00033381	62	WBGene00033381	26	WBGene00033381	80	WBGene00033381	48
WBGene00033382	41	WBGene00033382	14	WBGene00033382	1	WBGene00033382	0
WBGene00033383	2	WBGene00033383	0	WBGene00033383	4	WBGene00033383	1
WBGene00033384	0	WBGene00033384	0	WBGene00033384	0	WBGene00033384	0
WBGene00033385	77	WBGene00033385	52	WBGene00033385	90	WBGene00033385	62
WBGene00033386	2	WBGene00033386	6	WBGene00033386	53	WBGene00033386	59
WBGene00033387	208	WBGene00033387	277	WBGene00033387	285	WBGene00033387	338
WBGene00033388	66	WBGene00033388	40	WBGene00033388	34	WBGene00033388	31
WBGene00033389	1	WBGene00033389	1	WBGene00033389	515	WBGene00033389	332
WBGene00033390	0	WBGene00033390	0	WBGene00033390	0	WBGene00033390	0
WBGene00033391	38	WBGene00033391	13	WBGene00033391	27	WBGene00033391	21
WBGene00033392	24	WBGene00033392	29	WBGene00033392	61	WBGene00033392	53
WBGene00033393	113	WBGene00033393	86	WBGene00033393	0	WBGene00033393	8
WBGene00033394	1046	WBGene00033394	871	WBGene00033394	906	WBGene00033394	768
WBGene00033395	5	WBGene00033395	5	WBGene00033395	10	WBGene00033395	0
WBGene00033396	0	WBGene00033396	0	WBGene00033396	0	WBGene00033396	0
WBGene00033397	47	WBGene00033397	35	WBGene00033397	1	WBGene00033397	0
WBGene00033398	621	WBGene00033398	647	WBGene00033398	703	WBGene00033398	682
WBGene00033399	347	WBGene00033399	251	WBGene00033399	375	WBGene00033399	268
WBGene00033400	268	WBGene00033400	198	WBGene00033400	319	WBGene00033400	753
WBGene00033401	305	WBGene00033401	285	WBGene00033401	356	WBGene00033401	319
WBGene00033402	15	WBGene00033402	12	WBGene00033402	20	WBGene00033402	5
WBGene00033403	47	WBGene00033403	16	WBGene00033403	0	WBGene00033403	0
WBGene00033404	46	WBGene00033404	55	WBGene00033404	71	WBGene00033404	92
WBGene00033405	177	WBGene00033405	108	WBGene00033405	0	WBGene00033405	0
WBGene00033406	485	WBGene00033406	384	WBGene00033406	411	WBGene00033406	357
WBGene00033407	14	WBGene00033407	13	WBGene00033407	20	WBGene00033407	17
WBGene00033408	18	WBGene00033408	20	WBGene00033408	3	WBGene00033408	4
WBGene00033409	1102	WBGene00033409	483	WBGene00033409	557	WBGene00033409	430
WBGene00033410	0	WBGene00033410	0	WBGene00033410	0	WBGene00033410	0
WBGene00033411	0	WBGene00033411	0	WBGene00033411	0	WBGene00033411	0
WBGene00033412	0	WBGene00033412	0	WBGene00033412	0	WBGene00033412	0
WBGene00033413	31	WBGene00033413	12	WBGene00033413	0	WBGene00033413	0
WBGene00033414	1281	WBGene00033414	1239	WBGene00033414	580	WBGene00033414	589
WBGene00033415	233	WBGene00033415	132	WBGene00033415	211	WBGene00033415	118
WBGene00033416	119	WBGene00033416	85	WBGene00033416	42	WBGene00033416	79
WBGene00033417	210	WBGene00033417	116	WBGene00033417	107	WBGene00033417	50
WBGene00033418	2	WBGene00033418	3	WBGene00033418	3	WBGene00033418	1
WBGene00033419	0	WBGene00033419	0	WBGene00033419	4	WBGene00033419	0
WBGene00033420	30	WBGene00033420	5	WBGene00033420	10	WBGene00033420	12
WBGene00033421	2	WBGene00033421	3	WBGene00033421	0	WBGene00033421	6
WBGene00033422	1	WBGene00033422	1	WBGene00033422	0	WBGene00033422	0
WBGene00033423	1	WBGene00033423	1	WBGene00033423	3	WBGene00033423	0
WBGene00033424	3	WBGene00033424	5	WBGene00033424	773	WBGene00033424	998
WBGene00033425	1263	WBGene00033425	232	WBGene00033425	292	WBGene00033425	199
WBGene00033426	31	WBGene00033426	37	WBGene00033426	5	WBGene00033426	1
WBGene00033427	44	WBGene00033427	55	WBGene00033427	6	WBGene00033427	2
WBGene00033428	197	WBGene00033428	219	WBGene00033428	169	WBGene00033428	75
WBGene00033429	71	WBGene00033429	31	WBGene00033429	138	WBGene00033429	98
WBGene00033430	294	WBGene00033430	304	WBGene00033430	408	WBGene00033430	308
WBGene00033431	2	WBGene00033431	0	WBGene00033431	0	WBGene00033431	0
WBGene00033432	265	WBGene00033432	196	WBGene00033432	264	WBGene00033432	332
WBGene00033433	13	WBGene00033433	12	WBGene00033433	21	WBGene00033433	14
WBGene00033434	0	WBGene00033434	0	WBGene00033434	0	WBGene00033434	0
WBGene00033436	44	WBGene00033436	45	WBGene00033436	43	WBGene00033436	48
WBGene00033437	499	WBGene00033437	325	WBGene00033437	422	WBGene00033437	320
WBGene00033438	25	WBGene00033438	19	WBGene00033438	0	WBGene00033438	0
WBGene00033439	1336	WBGene00033439	1028	WBGene00033439	1186	WBGene00033439	901
WBGene00033440	1807	WBGene00033440	1284	WBGene00033440	1683	WBGene00033440	1300
WBGene00033441	2	WBGene00033441	0	WBGene00033441	62	WBGene00033441	47
WBGene00033442	0	WBGene00033442	0	WBGene00033442	1	WBGene00033442	0
WBGene00033443	34	WBGene00033443	26	WBGene00033443	0	WBGene00033443	0
WBGene00033444	503	WBGene00033444	127	WBGene00033444	87	WBGene00033444	50
WBGene00033445	176	WBGene00033445	117	WBGene00033445	154	WBGene00033445	142
WBGene00033446	282	WBGene00033446	234	WBGene00033446	296	WBGene00033446	213
WBGene00033447	7	WBGene00033447	6	WBGene00033447	2396	WBGene00033447	932
WBGene00033448	18	WBGene00033448	12	WBGene00033448	0	WBGene00033448	0
WBGene00033449	910	WBGene00033449	336	WBGene00033449	314	WBGene00033449	343
WBGene00033450	2591	WBGene00033450	2404	WBGene00033450	2503	WBGene00033450	2279
WBGene00033451	458	WBGene00033451	476	WBGene00033451	550	WBGene00033451	473
WBGene00033452	598	WBGene00033452	448	WBGene00033452	556	WBGene00033452	401
WBGene00033453	215	WBGene00033453	146	WBGene00033453	192	WBGene00033453	163
WBGene00033454	759	WBGene00033454	358	WBGene00033454	608	WBGene00033454	332
WBGene00033455	879	WBGene00033455	546	WBGene00033455	891	WBGene00033455	693
WBGene00033456	31	WBGene00033456	31	WBGene00033456	31	WBGene00033456	24
WBGene00033457	1006	WBGene00033457	1047	WBGene00033457	941	WBGene00033457	1055
WBGene00033458	2	WBGene00033458	1	WBGene00033458	3	WBGene00033458	83
WBGene00033459	872	WBGene00033459	315	WBGene00033459	856	WBGene00033459	535
WBGene00033460	1	WBGene00033460	0	WBGene00033460	3	WBGene00033460	0
WBGene00033461	0	WBGene00033461	0	WBGene00033461	0	WBGene00033461	0
WBGene00033462	0	WBGene00033462	1	WBGene00033462	8	WBGene00033462	1
WBGene00033463	30	WBGene00033463	28	WBGene00033463	33	WBGene00033463	71
WBGene00033464	1301	WBGene00033464	43	WBGene00033464	2	WBGene00033464	4
WBGene00033465	385	WBGene00033465	412	WBGene00033465	229	WBGene00033465	248
WBGene00033466	0	WBGene00033466	0	WBGene00033466	22	WBGene00033466	0
WBGene00033467	0	WBGene00033467	0	WBGene00033467	0	WBGene00033467	0
WBGene00033468	12	WBGene00033468	7	WBGene00033468	19	WBGene00033468	0
WBGene00033469	8	WBGene00033469	4	WBGene00033469	32	WBGene00033469	6
WBGene00033470	555	WBGene00033470	460	WBGene00033470	497	WBGene00033470	501
WBGene00033471	4	WBGene00033471	0	WBGene00033471	19	WBGene00033471	6
