GO:0000413	WBGene00023677,WBGene00023810,WBGene00024576,WBGene00025740,WBGene00025946,WBGene00026079,WBGene00027056,WBGene00027120,WBGene00027267,WBGene00028164,WBGene00028338,WBGene00029206,WBGene00029281,WBGene00029907,WBGene00030351,WBGene00030832,WBGene00031337,WBGene00032347,WBGene00033047,WBGene00033437,WBGene00033678,WBGene00035556,WBGene00037969,WBGene00037970,WBGene00038380,WBGene00038800,WBGene00038906,WBGene00039707,WBGene00039901,WBGene00089328,WBGene00270658
GO:0000422	WBGene00024700,WBGene00025652,WBGene00025901,WBGene00028316,WBGene00028347,WBGene00030674,WBGene00032147,WBGene00032230,WBGene00032315,WBGene00034634,WBGene00036553,WBGene00037713,WBGene00037795,WBGene00040775,WBGene00041223
GO:0000423	WBGene00026611,WBGene00028140,WBGene00028212,WBGene00028520,WBGene00036553
GO:0000447	WBGene00023933,WBGene00027255,WBGene00033578,WBGene00036504
GO:0000454	WBGene00034295
GO:0000455	WBGene00038743
GO:0000460	WBGene00026335,WBGene00034375,WBGene00038767
GO:0000461	WBGene00036504
GO:0000462	WBGene00024333,WBGene00024626,WBGene00026078,WBGene00026200,WBGene00026999,WBGene00028209,WBGene00030159,WBGene00030508,WBGene00032692,WBGene00033505,WBGene00034028,WBGene00034405,WBGene00036533,WBGene00041853
GO:0000463	WBGene00026668,WBGene00026897,WBGene00030799,WBGene00031112,WBGene00033232,WBGene00038228,WBGene00039807
GO:0000466	WBGene00030799,WBGene00038228,WBGene00039807
GO:0000467	WBGene00025148,WBGene00025149,WBGene00025151,WBGene00025157,WBGene00025310,WBGene00026000,WBGene00027897,WBGene00027994,WBGene00032027,WBGene00032875,WBGene00034293,WBGene00034683,WBGene00034684,WBGene00034685,WBGene00036506
GO:0000469	WBGene00024626,WBGene00026917,WBGene00037685
GO:0000470	WBGene00026897,WBGene00026946,WBGene00028297,WBGene00032629,WBGene00034375,WBGene00037685
GO:0000472	WBGene00033578
GO:0000478	WBGene00026353
GO:0000480	WBGene00033578
GO:0000492	WBGene00028114,WBGene00031112,WBGene00038646
GO:0000493	WBGene00026318,WBGene00041050
GO:0000494	WBGene00032691,WBGene00035634
GO:0000495	WBGene00037760
GO:0000578	WBGene00025947
GO:0000706	WBGene00028361,WBGene00037501
GO:0000710	WBGene00026572,WBGene00035331
GO:0000712	WBGene00024807,WBGene00025319,WBGene00026063,WBGene00026527,WBGene00035268,WBGene00036540,WBGene00037501,WBGene00038636,WBGene00042784
GO:0000715	WBGene00039438
GO:0000717	WBGene00035859
GO:0000722	WBGene00041781
GO:0000723	WBGene00023830,WBGene00025337,WBGene00027672,WBGene00028170,WBGene00029367,WBGene00029368,WBGene00030812,WBGene00031229,WBGene00032935,WBGene00033036,WBGene00033864,WBGene00033985,WBGene00034017,WBGene00037557,WBGene00038570,WBGene00040661,WBGene00041781
